,Name,GameId,teams,League,Designation,Side,Point,Odds,Category,Units,dec_odds,PlayName
20,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,7.0,-105,spread,,,
21,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,,250,moneyline,,,
22,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,away,110.5,-110,team_total,,,
23,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,away,110.5,-110,team_total,,,
24,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,-7.0,-115,spread,,,
25,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,,-300,moneyline,,,
26,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,home,118.0,-110,team_total,,,
27,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,home,118.0,-110,team_total,,,
28,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,,228.5,-110,total,,,
29,Game,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,,228.5,-110,total,,,
30,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,4.0,-105,spread,,,
31,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,,185,moneyline,,,
32,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,away,54.0,-115,team_total,,,
33,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,away,54.0,-115,team_total,,,
34,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,-4.0,-115,spread,,,
35,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,,-215,moneyline,,,
36,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,home,58.0,-115,team_total,,,
37,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,home,58.0,-115,team_total,,,
38,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,,112.0,-110,total,,,
39,1st Half,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,,112.0,-110,total,,,
40,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,2.5,-115,spread,,,
41,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,away,,160,moneyline,,,
44,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,-2.5,-105,spread,,,
45,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,,home,,-180,moneyline,,,
48,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,over,,56.0,-113,total,,,
49,1st Quarter,490275586,memphis grizzlies(away) vs new orleans pelicans(home),NBA,under,,56.0,-107,total,,,
50,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,16.5,-110,spread,,,
51,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,,825,moneyline,,,
52,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,away,116.0,-110,team_total,,,
53,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,away,116.0,-110,team_total,,,
54,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,-16.5,-110,spread,,,
55,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,,-1400,moneyline,,,
56,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,home,133.0,-115,team_total,,,
57,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,home,133.0,-105,team_total,,,
58,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,,249.0,-115,total,,,
59,Game,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,,249.0,-105,total,,,
60,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,10.0,-110,spread,,,
61,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,,450,moneyline,,,
62,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,away,58.5,-115,team_total,,,
63,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,away,58.5,-115,team_total,,,
64,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,-10.0,-110,spread,,,
65,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,,-570,moneyline,,,
66,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,home,68.5,-115,team_total,,,
67,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,home,68.5,-115,team_total,,,
68,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,,127.0,-115,total,,,
69,1st Half,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,,127.0,-105,total,,,
70,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,5.5,-105,spread,,,
71,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,away,,280,moneyline,,,
74,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,-5.5,-115,spread,,,
75,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,,home,,-350,moneyline,,,
78,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,over,,64.0,-110,total,,,
79,1st Quarter,490275583,san antonio spurs(away) vs milwaukee bucks(home),NBA,under,,64.0,-110,total,,,
80,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,,away,-5.5,-113,spread,,,
81,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,,away,,-220,moneyline,,,
82,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,away,120.0,-110,team_total,,,
83,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,away,120.0,-110,team_total,,,
84,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,,home,5.5,-107,spread,,,
85,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,,home,,190,moneyline,,,
86,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,home,114.5,-110,team_total,,,
87,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,home,114.5,-110,team_total,,,
88,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,,234.5,-110,total,,,
89,Game,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,,234.5,-110,total,,,
90,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,,away,-3.0,-110,spread,,,
91,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,,away,,-175,moneyline,,,
92,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,away,61.0,-115,team_total,,,
93,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,away,61.0,-115,team_total,,,
94,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,,home,3.0,-110,spread,,,
95,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,,home,,155,moneyline,,,
96,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,home,57.5,-115,team_total,,,
97,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,home,57.5,-115,team_total,,,
98,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,over,,118.5,-110,total,,,
99,1st Half,490275585,boston celtics(away) vs golden state warriors(home),NBA,under,,118.5,-110,total,,,
