,Name,GameId,teams,League,Designation,Side,Point,Odds,Category,Units,dec_odds,PlayName
210,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,,away,1.5,-148,spread,,,
211,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,,away,,178,moneyline,,,
212,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,over,away,2.5,100,team_total,,,
213,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,under,away,2.5,-130,team_total,,,
214,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,,home,-1.5,128,spread,,,
215,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,,home,,-201,moneyline,,,
216,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,over,home,3.5,100,team_total,,,
217,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,under,home,3.5,-130,team_total,,,
218,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,over,,5.5,-113,total,,,
219,Game,490275612,minnesota wild(away) vs boston bruins(home),NHL,under,,5.5,-103,total,,,
220,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,,away,0.5,-165,spread,,,
221,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,,away,,145,moneyline,,,
224,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,,home,-0.5,145,spread,,,
225,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,,home,,-165,moneyline,,,
228,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,over,,1.5,-112,total,,,
229,1st Period,490275612,minnesota wild(away) vs boston bruins(home),NHL,under,,1.5,-108,total,,,
230,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,away,1.5,-155,spread,,,
231,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,away,,154,moneyline,,,
232,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,over,away,2.5,-145,team_total,,,
233,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,under,away,2.5,115,team_total,,,
234,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,home,-1.5,135,spread,,,
235,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,home,,-173,moneyline,,,
236,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,over,home,3.5,-120,team_total,,,
237,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,under,home,3.5,-110,team_total,,,
238,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,over,,6.5,-117,total,,,
239,Game,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,under,,6.5,101,total,,,
240,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,away,0.5,-170,spread,,,
241,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,away,,130,moneyline,,,
244,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,home,-0.5,150,spread,,,
245,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,,home,,-150,moneyline,,,
248,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,over,,1.5,-143,total,,,
249,1st Period,490275613,st. louis blues(away) vs tampa bay lightning(home),NHL,under,,1.5,123,total,,,
250,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,away,1.5,-155,spread,,,
251,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,away,,163,moneyline,,,
252,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,over,away,2.5,-150,team_total,,,
253,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,under,away,2.5,120,team_total,,,
254,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,home,-1.5,135,spread,,,
255,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,home,,-183,moneyline,,,
256,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,over,home,3.5,-130,team_total,,,
257,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,under,home,3.5,100,team_total,,,
258,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,over,,6.5,-131,total,,,
259,Game,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,under,,6.5,114,total,,,
260,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,away,0.5,-173,spread,,,
261,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,away,,133,moneyline,,,
264,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,home,-0.5,153,spread,,,
265,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,,home,,-153,moneyline,,,
268,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,over,,1.5,-155,total,,,
269,1st Period,490275609,columbus blue jackets(away) vs buffalo sabres(home),NHL,under,,1.5,135,total,,,
270,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,away,1.5,-168,spread,,,
271,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,away,,141,moneyline,,,
272,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,over,away,2.5,-130,team_total,,,
273,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,under,away,2.5,100,team_total,,,
274,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,home,-1.5,148,spread,,,
275,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,home,,-158,moneyline,,,
276,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,over,home,3.5,-105,team_total,,,
277,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,under,home,3.5,-125,team_total,,,
278,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,over,,6.0,-114,total,,,
279,Game,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,under,,6.0,-102,total,,,
280,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,away,0.5,-178,spread,,,
281,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,away,,125,moneyline,,,
284,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,home,-0.5,158,spread,,,
285,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,,home,,-145,moneyline,,,
288,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,over,,1.5,-125,total,,,
289,1st Period,490275603,philadelphia flyers(away) vs new jersey devils(home),NHL,under,,1.5,105,total,,,
290,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,away,1.5,-225,spread,,,
291,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,away,,116,moneyline,,,
292,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,over,away,2.5,-150,team_total,,,
293,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,under,away,2.5,120,team_total,,,
294,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,home,-1.5,195,spread,,,
295,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,home,,-130,moneyline,,,
296,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,over,home,3.5,115,team_total,,,
297,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,under,home,3.5,-145,team_total,,,
298,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,over,,6.0,-112,total,,,
299,Game,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,under,,6.0,-104,total,,,
300,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,away,0.5,-205,spread,,,
301,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,away,,100,moneyline,,,
304,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,home,-0.5,175,spread,,,
305,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,,home,,-120,moneyline,,,
308,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,over,,1.5,-125,total,,,
309,1st Period,490275611,vegas golden knights(away) vs carolina hurricanes(home),NHL,under,,1.5,105,total,,,
310,Game,490275605,new york rangers(away) vs toronto maple leafs(home),NHL,,away,1.5,-275,spread,,,
311,Game,490275605,new york rangers(away) vs toronto maple leafs(home),NHL,,away,,-115,moneyline,,,
312,Game,490275605,new york rangers(away) vs toronto maple leafs(home),NHL,over,away,3.5,120,team_total,,,
