Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line,,away,,1.5,1.89285715,-112,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line,,home,,-1.5,1.92592593,-108,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total,,,,8.0,1.89285715,-112,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total,,,,8.0,1.92592593,-108,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Moneyline,,away,,,2.8,+180,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Moneyline,,home,,,1.4587156,-218,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,-3.0,7.2,+620,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,3.0,1.08064517,-1240,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,-2.5,5.39,+439,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,2.5,1.13888889,-720,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,-2.0,5.05,+405,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,2.0,1.15384616,-650,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,-1.5,3.88,+288,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,1.5,1.24038462,-416,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,-1.0,3.49,+249,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,1.0,1.28571429,-350,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,1.0,2.28,+128,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-1.0,1.5952381,-168,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,2.0,1.64102565,-156,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-2.0,2.19,+119,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,2.5,1.51546392,-194,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-2.5,2.47,+147,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,3.0,1.38314177,-261,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-3.0,2.94,+194,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,3.5,1.33112583,-302,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-3.5,3.2,+220,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,4.0,1.2375297,-421,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-4.0,3.91,+291,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,4.5,1.21231423,-471,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-4.5,4.18,+318,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,5.0,1.14492754,-690,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-5.0,5.22,+422,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,5.5,1.13333334,-750,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-5.5,5.49,+449,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,6.0,1.08474577,-1180,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-6.0,7.0,+600,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,away,,6.5,1.078125,-1280,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Run Line Alternate,,home,,-6.5,7.3,+630,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,4.5,1.13698631,-730,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,4.5,5.41,+441,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,5.0,1.15873016,-630,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,5.0,4.94,+394,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,5.5,1.28169015,-355,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,5.5,3.52,+252,key
