,Pinnacle,Fanduel,name,Fanduel Link,PinnacleS Link,PinnacleR Link
0,1593482680,33398402,Omaha Storm Chasers @ Iowa Cubs,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398402,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482680/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482680/related
1,1593489904,33398407,Tacoma Rainiers @ Salt Lake Bees,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398407,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593489904/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593489904/related
2,1593490645,33395817,Arizona Diamondbacks (B Pfaadt) @ San Diego Padres (M Waldron),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395817,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490645/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490645/related
3,1593490645,33398041,Arizona Diamondbacks (R Nelson) @ San Diego Padres (D Cease),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398041,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490645/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490645/related
4,1593568926,33395822,Toronto Blue Jays (Y Rodriguez) @ Seattle Mariners (E Hancock),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395822,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568926/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568926/related
5,1593568926,33398047,Toronto Blue Jays (J Berrios) @ Seattle Mariners (G Kirby),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398047,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568926/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568926/related
6,1593481980,33398398,Jacksonville Jumbo Shrimp @ Charlotte Knights,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398398,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593481980/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593481980/related
7,1593482681,33395816,Milwaukee Brewers (F Peralta) @ Los Angeles Dodgers (J Paxton),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395816,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482681/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482681/related
8,1593482681,33398042,Milwaukee Brewers (D Keuchel) @ Los Angeles Dodgers (TBD),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398042,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482681/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482681/related
9,1593568878,33395809,New York Mets (D Peterson) @ Pittsburgh Pirates (B Falter),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395809,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568878/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568878/related
10,1593487379,33398399,Memphis Redbirds @ Nashville Sounds,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398399,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593487379/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593487379/related
11,1593482486,33398404,Norfolk Tides @ Durham Bulls,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398404,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482486/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482486/related
12,1593489903,33398406,Albuquerque Isotopes @ El Paso Chihuahuas,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398406,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593489903/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593489903/related
