,index,cutoffAt,isAlternate,key,limits,matchupId,period,prices,status,type,version,side,designation,price,points,participantId
0,0,2024-07-07T01:40:00+00:00,False,s;0;m,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'price': -121}",open,moneyline,2595401944.0,,home,-121,nan,
1,0,2024-07-07T01:40:00+00:00,False,s;0;m,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'price': 112}",open,moneyline,2595401944.0,,away,112,nan,
2,1,2024-07-07T01:40:00+00:00,False,s;0;tt;3.5;home,"[{'amount': 2000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 3.5, 'price': -129}",open,team_total,2595401944.0,home,over,-129,3.5,
3,1,2024-07-07T01:40:00+00:00,False,s;0;tt;3.5;home,"[{'amount': 2000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 3.5, 'price': 110}",open,team_total,2595401944.0,home,under,110,3.5,
4,2,2024-07-07T01:40:00+00:00,False,s;0;tt;3.5;away,"[{'amount': 2000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 3.5, 'price': -116}",open,team_total,2595401944.0,away,over,-116,3.5,
5,2,2024-07-07T01:40:00+00:00,False,s;0;tt;3.5;away,"[{'amount': 2000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 3.5, 'price': -101}",open,team_total,2595401944.0,away,under,-101,3.5,
6,3,2024-07-07T01:40:00+00:00,False,s;0;s;-1.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': -1.5, 'price': 175}",open,spread,2595401944.0,,home,175,-1.5,
7,3,2024-07-07T01:40:00+00:00,False,s;0;s;-1.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': 1.5, 'price': -197}",open,spread,2595401944.0,,away,-197,1.5,
8,4,2024-07-07T01:40:00+00:00,True,s;0;s;1.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': 1.5, 'price': -219}",open,spread,2595401944.0,,home,-219,1.5,
9,4,2024-07-07T01:40:00+00:00,True,s;0;s;1.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': -1.5, 'price': 180}",open,spread,2595401944.0,,away,180,-1.5,
10,5,2024-07-07T01:40:00+00:00,True,s;0;s;1.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': 1.0, 'price': -174}",open,spread,2595401944.0,,home,-174,1.0,
11,5,2024-07-07T01:40:00+00:00,True,s;0;s;1.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': -1.0, 'price': 149}",open,spread,2595401944.0,,away,149,-1.0,
12,6,2024-07-07T01:40:00+00:00,True,s;0;s;-1.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': -1.0, 'price': 124}",open,spread,2595401944.0,,home,124,-1.0,
13,6,2024-07-07T01:40:00+00:00,True,s;0;s;-1.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': 1.0, 'price': -140}",open,spread,2595401944.0,,away,-140,1.0,
14,7,2024-07-07T01:40:00+00:00,True,s;0;s;-2.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': -2.0, 'price': 240}",open,spread,2595401944.0,,home,240,-2.0,
15,7,2024-07-07T01:40:00+00:00,True,s;0;s;-2.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': 2.0, 'price': -285}",open,spread,2595401944.0,,away,-285,2.0,
16,8,2024-07-07T01:40:00+00:00,True,s;0;s;-2.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': -2.5, 'price': 270}",open,spread,2595401944.0,,home,270,-2.5,
17,8,2024-07-07T01:40:00+00:00,True,s;0;s;-2.5,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': 2.5, 'price': -337}",open,spread,2595401944.0,,away,-337,2.5,
18,9,2024-07-07T01:40:00+00:00,True,s;0;s;-3.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'home', 'points': -3.0, 'price': 373}",open,spread,2595401944.0,,home,373,-3.0,
19,9,2024-07-07T01:40:00+00:00,True,s;0;s;-3.0,"[{'amount': 10000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'away', 'points': 3.0, 'price': -522}",open,spread,2595401944.0,,away,-522,3.0,
20,10,2024-07-07T01:40:00+00:00,False,s;0;ou;7.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 7.5, 'price': -104}",open,total,2595401944.0,,over,-104,7.5,
21,10,2024-07-07T01:40:00+00:00,False,s;0;ou;7.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 7.5, 'price': -108}",open,total,2595401944.0,,under,-108,7.5,
22,11,2024-07-07T01:40:00+00:00,True,s;0;ou;4.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 4.5, 'price': -518}",open,total,2595401944.0,,over,-518,4.5,
23,11,2024-07-07T01:40:00+00:00,True,s;0;ou;4.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 4.5, 'price': 371}",open,total,2595401944.0,,under,371,4.5,
24,12,2024-07-07T01:40:00+00:00,True,s;0;ou;6.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 6.0, 'price': -220}",open,total,2595401944.0,,over,-220,6.0,
25,12,2024-07-07T01:40:00+00:00,True,s;0;ou;6.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 6.0, 'price': 190}",open,total,2595401944.0,,under,190,6.0,
26,13,2024-07-07T01:40:00+00:00,True,s;0;ou;6.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 6.5, 'price': -168}",open,total,2595401944.0,,over,-168,6.5,
27,13,2024-07-07T01:40:00+00:00,True,s;0;ou;6.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 6.5, 'price': 148}",open,total,2595401944.0,,under,148,6.5,
28,14,2024-07-07T01:40:00+00:00,True,s;0;ou;7.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 7.0, 'price': -139}",open,total,2595401944.0,,over,-139,7.0,
29,14,2024-07-07T01:40:00+00:00,True,s;0;ou;7.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 7.0, 'price': 123}",open,total,2595401944.0,,under,123,7.0,
30,15,2024-07-07T01:40:00+00:00,True,s;0;ou;8.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 8.0, 'price': 114}",open,total,2595401944.0,,over,114,8.0,
31,15,2024-07-07T01:40:00+00:00,True,s;0;ou;8.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 8.0, 'price': -128}",open,total,2595401944.0,,under,-128,8.0,
32,16,2024-07-07T01:40:00+00:00,True,s;0;ou;8.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 8.5, 'price': 133}",open,total,2595401944.0,,over,133,8.5,
33,16,2024-07-07T01:40:00+00:00,True,s;0;ou;8.5,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 8.5, 'price': -150}",open,total,2595401944.0,,under,-150,8.5,
34,17,2024-07-07T01:40:00+00:00,True,s;0;ou;9.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'over', 'points': 9.0, 'price': 174}",open,total,2595401944.0,,over,174,9.0,
35,17,2024-07-07T01:40:00+00:00,True,s;0;ou;9.0,"[{'amount': 5000, 'type': 'maxRiskStake'}]",1593490645,0,"{'designation': 'under', 'points': 9.0, 'price': -200}",open,total,2595401944.0,,under,-200,9.0,
