,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
0,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Puck Line,,Home,Edmonton Oilers -1.5,-1.5,3.0,
1,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Puck Line,,Away,Florida Panthers +1.5,1.5,1.4,
2,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Total OF,over,Neither,Over 5.5,5.5,2.05,
3,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Total OF,under,Neither,Under 5.5,5.5,1.8,
4,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Money Line OF,,Neither,Edmonton Oilers,0.0,1.7143,
5,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Money Line OF,,Neither,Florida Panthers,0.0,2.15,
6,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Money Line (3-Way OF),,Neither,Edmonton Oilers,0.0,2.2,
7,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Money Line (3-Way OF),,Neither,Florida Panthers,0.0,2.85,
8,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Money Line (3-Way OF),,Neither,Draw,0.0,3.8,
9,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Double Chance OF,,Neither,Edmonton Oilers Or Tie,0.0,1.4167,
10,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Double Chance OF,,Neither,Florida Panthers Or Tie,0.0,1.6667,
11,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Double Chance OF,,Neither,Edmonton Oilers Or Florida Panthers,0.0,1.2667,
12,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 0-0,0.0,61.0,
13,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 1-0,0.0,46.0,
14,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 2-0,0.0,36.0,
15,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 3-0,0.0,23.0,
16,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 4-0,0.0,36.0,
17,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 5-0,0.0,51.0,
18,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-0,0.0,101.0,
19,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 1-0,0.0,51.0,
20,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 2-0,0.0,36.0,
21,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 3-0,0.0,26.0,
22,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 4-0,0.0,46.0,
23,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 5-0,0.0,91.0,
24,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-0,0.0,201.0,
25,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 1-1,0.0,13.0,
26,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 2-1,0.0,16.0,
27,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 3-1,0.0,16.0,
28,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 4-1,0.0,14.0,
29,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 5-1,0.0,26.0,
30,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-1,0.0,46.0,
31,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 2-1,0.0,19.0,
32,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 3-1,0.0,18.0,
33,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 4-1,0.0,18.0,
34,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 5-1,0.0,36.0,
35,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-1,0.0,91.0,
36,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 2-2,0.0,9.0,
37,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 3-2,0.0,14.0,
38,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 4-2,0.0,16.0,
39,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 5-2,0.0,16.0,
40,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-2,0.0,41.0,
41,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 3-2,0.0,16.0,
42,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 4-2,0.0,18.0,
43,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 5-2,0.0,23.0,
44,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-2,0.0,61.0,
45,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 3-3,0.0,11.0,
46,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 4-3,0.0,21.0,
47,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 5-3,0.0,23.0,
48,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-3,0.0,31.0,
49,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 4-3,0.0,19.0,
50,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 5-3,0.0,26.0,
51,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-3,0.0,46.0,
52,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 4-4,0.0,19.0,
