Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Moneyline OF,,Home,Philadelphia Phillies,0.0,1.5,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Moneyline OF,,Away,Milwaukee Brewers,0.0,2.65,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Moneyline Listed Pitchers OF,,Home,Philadelphia Phillies,0.0,1.5,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Moneyline Listed Pitchers OF,,Away,Milwaukee Brewers,0.0,2.65,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Run Line,,Home,Philadelphia Phillies -1.5,-1.5,2.0,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Run Line,,Away,Milwaukee Brewers +1.5,1.5,1.8334,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs OF,over,Neither,Over 8,8.0,1.8696,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs OF,under,Neither,Under 8,8.0,1.9524,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,2.05,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.7143,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,1.8696,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.8696,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,over,Neither,Over 4.5,4.5,1.1429,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,under,Neither,Under 4.5,4.5,5.25,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,over,Neither,Over 5.5,5.5,1.2858,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,under,Neither,Under 5.5,5.5,3.4,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,over,Neither,Over 6.5,6.5,1.4167,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,under,Neither,Under 6.5,6.5,2.75,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,over,Neither,Over 7.5,7.5,1.7143,
Milwaukee Brewers(away) vs Philadelphia Phillies(home),MLB,Alternate Total Runs OF,under,Neither,Under 7.5,7.5,2.05,
