Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Home,Chicago Cubs,0.0,3.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Away,Cincinnati Reds,0.0,1.3637,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line,,Home,Chicago Cubs +1.5,1.5,1.3847,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line,,Away,Cincinnati Reds -1.5,-1.5,2.9,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs OF,over,Neither,Over 9.5,9.5,2.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs OF,under,Neither,Under 9.5,9.5,1.5556,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,1.8,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,1.9524,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.8,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,1.9524,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 7.5,7.5,1.3077,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 7.5,7.5,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 8.5,8.5,1.5264,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 8.5,8.5,2.45,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 10.5,10.5,3.2,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 10.5,10.5,1.3334,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 11.5,11.5,5.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 11.5,11.5,1.1429,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 12.5,12.5,6.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 12.5,12.5,1.1,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 13.5,13.5,12.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 13.5,13.5,1.04,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,over,Neither,Over 10,10.0,3.2,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,under,Neither,Under 10,10.0,1.5556,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,,Neither,Draw 10,10.0,6.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,over,Neither,Over 11,11.0,5.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,under,Neither,Under 11,11.0,1.3334,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,,Neither,Draw 11,11.0,5.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,over,Neither,Over 9,9.0,2.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,under,Neither,Under 9,9.0,2.45,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,,Neither,Draw 9,9.0,3.5,
