Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
Game,490457437,STL(away) vs CIN(home),MLB,,away,-1.5,s;0;s;1.5,119,2.19,spread,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,,away,,s;0;m,-133,1.75,moneyline,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,over,away,4.5,s;0;tt;4.5;away,-110,1.91,team_total,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,under,away,4.5,s;0;tt;4.5;away,-120,1.83,team_total,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,,home,1.5,s;0;s;1.5,-139,1.72,spread,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,,home,,s;0;m,122,2.22,moneyline,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,over,home,3.5,s;0;tt;3.5;home,-123,1.81,team_total,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,under,home,3.5,s;0;tt;3.5;home,-107,1.93,team_total,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,over,,8.5,s;0;ou;8.5,-106,1.94,total,2024-08-12,
Game,490457437,STL(away) vs CIN(home),MLB,under,,8.5,s;0;ou;8.5,-114,1.88,total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,,away,-0.5,s;-1;s;0.5,100,2.0,spread,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,,away,,s;-1;m,-141,1.71,moneyline,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,over,away,2.5,s;-1;tt;2.5;away,125,2.25,team_total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,under,away,2.5,s;-1;tt;2.5;away,-155,1.65,team_total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,,home,0.5,s;-1;s;0.5,-120,1.83,spread,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,,home,,s;-1;m,121,2.21,moneyline,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,over,home,1.5,s;-1;tt;1.5;home,-135,1.74,team_total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,under,home,1.5,s;-1;tt;1.5;home,105,2.05,team_total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,over,,4.5,s;-1;ou;4.5,-102,1.98,total,2024-08-12,
1st 5 Innings,490457437,STL(away) vs CIN(home),MLB,under,,4.5,s;-1;ou;4.5,-118,1.85,total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,,away,-1.5,s;0;s;1.5,140,2.4,spread,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,,away,,s;0;m,-121,1.83,moneyline,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,over,away,4.5,s;0;tt;4.5;away,115,2.15,team_total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,under,away,4.5,s;0;tt;4.5;away,-145,1.69,team_total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,,home,1.5,s;0;s;1.5,-160,1.62,spread,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,,home,,s;0;m,111,2.11,moneyline,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,over,home,3.5,s;0;tt;3.5;home,-123,1.81,team_total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,under,home,3.5,s;0;tt;3.5;home,-107,1.93,team_total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,over,,8.0,s;0;ou;8,100,2.0,total,2024-08-12,
Game,490457430,CHC(away) vs CLE(home),MLB,under,,8.0,s;0;ou;8,-120,1.83,total,2024-08-12,
1st 5 Innings,490457430,CHC(away) vs CLE(home),MLB,,away,-0.5,s;-1;s;0.5,102,2.02,spread,2024-08-12,
1st 5 Innings,490457430,CHC(away) vs CLE(home),MLB,,away,,s;-1;m,-138,1.72,moneyline,2024-08-12,
1st 5 Innings,490457430,CHC(away) vs CLE(home),MLB,over,away,2.5,s;-1;tt;2.5;away,130,2.3,team_total,2024-08-12,
1st 5 Innings,490457430,CHC(away) vs CLE(home),MLB,under,away,2.5,s;-1;tt;2.5;away,-160,1.62,team_total,2024-08-12,
