Teams,League,Category,Designation,Side,Name,Points,DK Decimal Odds,DK American Odds,Key,Date
ARI(away) vs MIA(home),MLB,Run Line,,away,,-1.5,1.84745763,-118,s;0;s;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Run Line,,home,,1.5,1.98039216,-102,s;0;s;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Total,over,,,8.5,1.92592593,-108,s;0;ou;8.5,2024-08-19
ARI(away) vs MIA(home),MLB,Total,under,,,8.5,1.89285715,-112,s;0;ou;8.5,2024-08-19
ARI(away) vs MIA(home),MLB,Moneyline,,away,,,1.48780488,-205,s;0;m,2024-08-19
ARI(away) vs MIA(home),MLB,Moneyline,,home,,,2.7,+170,s;0;m,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,A. Sánchez,0.5,15.0,1400,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,C. Norby,0.5,8.5,750,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,C. Carroll,0.5,5.75,475,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,D. Hill,0.5,12.0,1100,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,E. Suarez,0.5,4.6,360,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,E. Suarez,1.5,29.0,2800,pp;0;ss;hr;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,G. Perdomo,0.5,11.0,1000,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Burger,0.5,5.0,400,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. McCarthy,0.5,12.0,1100,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Sanchez,0.5,5.75,475,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Pederson,0.5,4.2,320,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Pederson,1.5,31.0,3000,pp;0;ss;hr;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Bride,0.5,11.0,1000,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Herrera,0.5,21.0,2000,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,J. Bell,0.5,5.75,475,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,K. Newman,0.5,13.0,1200,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,K. Stowers,0.5,6.5,550,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,L. Gurriel Jr.,0.5,5.25,425,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,V. Brujan,0.5,17.0,1600,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Home Runs,over,,X. Edwards,0.5,18.0,1700,pp;0;ss;hr;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,A. Sánchez,0.5,1.9,-110,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,A. Sánchez,1.5,6.5,550,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,C. Norby,0.5,1.74,-135,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,C. Norby,1.5,5.25,425,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,C. Carroll,0.5,1.39,-255,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,C. Carroll,1.5,3.15,215,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,C. Carroll,2.5,10.0,900,pp;0;ss;hit;2.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,D. Hill,0.5,1.62,-160,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,D. Hill,1.5,4.5,350,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,E. Suarez,0.5,1.45,-220,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,E. Suarez,1.5,3.4,240,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,E. Suarez,2.5,11.0,1000,pp;0;ss;hit;2.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,G. Perdomo,0.5,1.6,-165,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,G. Perdomo,1.5,4.4,340,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Burger,0.5,1.52,-190,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Burger,1.5,4.0,300,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. McCarthy,0.5,1.4,-250,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. McCarthy,1.5,2.9,190,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. McCarthy,2.5,8.5,750,pp;0;ss;hit;2.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Sanchez,0.5,1.44,-225,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Sanchez,1.5,3.35,235,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Sanchez,2.5,11.0,1000,pp;0;ss;hit;2.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Pederson,0.5,1.47,-210,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Pederson,1.5,3.7,270,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Pederson,2.5,13.0,1200,pp;0;ss;hit;2.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Bride,0.5,1.55,-180,pp;0;ss;hit;0.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Bride,1.5,4.3,330,pp;0;ss;hit;1.5,2024-08-19
ARI(away) vs MIA(home),MLB,Hits,over,,J. Herrera,0.5,1.95,-105,pp;0;ss;hit;0.5,2024-08-19
