Teams,League,Category,Designation,Side,Name,Points,FD Decimal Odds,FD American Odds,Key,Date
COL(away) vs ARI(home),MLB,To Hit a Double,over,,L. Gurriel,0.5,3.55,255,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,K. Marte,0.5,3.55,255,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,C. Carroll,0.5,3.6,260,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,J. Bell,0.5,3.75,275,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,C. Blackmon,0.5,4.1,310,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,E. Tovar,0.5,4.1,310,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,J. Pederson,0.5,4.2,320,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,J. McCarthy,0.5,4.2,320,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,B. Rodgers,0.5,4.3,330,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,E. Suarez,0.5,4.5,350,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,B. Doyle,0.5,4.7,370,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,E. Diaz,0.5,4.8,380,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,R. McMahon,0.5,4.9,390,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,M. Toglia,0.5,5.3,430,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,G. Perdomo,0.5,5.4,440,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,J. Cave,0.5,5.5,450,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,J. Herrera,0.5,6.0,500,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Hit a Double,over,,S. Hilliard,0.5,6.0,500,pp;0;ss;dbl;0.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,C. Carroll,2.5,2.7,170,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,K. Marte,2.5,2.8,180,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,J. Pederson,2.5,2.95,195,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,L. Gurriel,2.5,3.2,220,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,J. Bell,2.5,3.3,230,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,J. McCarthy,2.5,3.3,230,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,C. Blackmon,2.5,3.5,250,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,E. Suarez,2.5,3.7,270,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,E. Tovar,2.5,3.8,280,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,M. Toglia,2.5,4.0,300,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,R. McMahon,2.5,4.1,310,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,B. Doyle,2.5,4.2,320,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,B. Rodgers,2.5,4.3,330,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,J. Cave,2.5,4.4,340,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,J. Herrera,2.5,5.3,430,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,S. Hilliard,2.5,5.6,460,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,E. Diaz,2.5,5.7,470,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 3+ Total Bases,over,,G. Perdomo,2.5,5.8,480,pp;0;ss;tb;2.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 2+ Runs,over,,C. Carroll,1.5,4.4,340,pp;0;ss;run;1.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 2+ Runs,over,,K. Marte,1.5,4.7,370,pp;0;ss;run;1.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Pederson,1.5,5.4,440,pp;0;ss;run;1.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Bell,1.5,5.7,470,pp;0;ss;run;1.5,2024-08-12
COL(away) vs ARI(home),MLB,To Record 2+ Runs,over,,L. Gurriel,1.5,7.0,600,pp;0;ss;run;1.5,2024-08-12
