Key,Date,League,Teams,Name,Category,Side,Designation,Points,PN American Odds,PN Decimal Odds,PN Fair Odds
s;0;m,2024-08-15,MLB,BOS(away) vs BAL(home),,moneyline,home,,,-139,1.7194244604316546,-133
s;0;m,2024-08-15,MLB,BOS(away) vs BAL(home),,moneyline,away,,,128,2.2800000000000002,133
s;0;tt;4.5;home,2024-08-15,MLB,BOS(away) vs BAL(home),,team_total,home,over,4.5,103,2.0300000000000002,111
s;0;tt;4.5;home,2024-08-15,MLB,BOS(away) vs BAL(home),,team_total,home,under,4.5,-120,1.8333333333333335,-111
s;0;tt;3.5;away,2024-08-15,MLB,BOS(away) vs BAL(home),,team_total,away,over,3.5,-128,1.78125,-117
s;0;tt;3.5;away,2024-08-15,MLB,BOS(away) vs BAL(home),,team_total,away,under,3.5,109,2.09,117
s;0;s;-1.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,-1.5,149,2.49,155
s;0;s;-1.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,1.5,-166,1.6024096385542168,-155
s;0;s;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,1.5,-240,1.4166666666666667,-209
s;0;s;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,-1.5,196,2.96,209
s;0;s;1.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,1.0,-196,1.510204081632653,-177
s;0;s;1.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,-1.0,167,2.67,177
s;0;s;-1.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,-1.0,104,2.04,110
s;0;s;-1.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,1.0,-117,1.8547008547008548,-110
s;0;s;-2.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,-2.0,198,2.98,208
s;0;s;-2.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,2.0,-231,1.432900432900433,-208
s;0;s;-2.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,-2.5,226,3.26,239
s;0;s;-2.5,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,2.5,-275,1.3636363636363638,-239
s;0;s;-3.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,home,,-3.0,303,4.029999999999999,323
s;0;s;-3.0,2024-08-15,MLB,BOS(away) vs BAL(home),,spread,away,,3.0,-402,1.2487562189054726,-323
s;0;ou;8.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,8.5,-110,1.9090909090909092,-104
s;0;ou;8.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,8.5,-102,1.9803921568627452,104
s;0;ou;5.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,5.5,-377,1.2652519893899203,-307
s;0;ou;5.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,5.5,288,3.88,307
s;0;ou;7.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,7.0,-208,1.4807692307692308,-189
s;0;ou;7.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,7.0,180,2.8,189
s;0;ou;7.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,7.5,-150,1.6666666666666665,-140
s;0;ou;7.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,7.5,133,2.33,140
s;0;ou;8.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,8.0,-130,1.7692307692307692,-122
s;0;ou;8.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,8.0,116,2.16,122
s;0;ou;9.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,9.0,115,2.15,122
s;0;ou;9.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,9.0,-130,1.7692307692307692,-122
s;0;ou;9.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,9.5,143,2.4299999999999997,151
s;0;ou;9.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,9.5,-163,1.6134969325153374,-151
s;0;ou;10.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,10.0,168,2.6799999999999997,177
s;0;ou;10.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,10.0,-193,1.5181347150259068,-177
s;0;ou;12.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,12.5,345,4.45,367
s;0;ou;12.5,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,12.5,-472,1.211864406779661,-367
s;0;ou;26.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,over,26.0,-110,1.9090909090909092,100
s;0;ou;26.0,2024-08-15,MLB,BOS(away) vs BAL(home),,total,,under,26.0,-110,1.9090909090909092,100
pp;0;ou;so;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Total Strikeouts,,over,4.5,-177,1.5649717514124295,-140
pp;0;ou;so;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Total Strikeouts,,under,4.5,119,2.19,140
pp;0;ou;hita;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Hits Allowed,,over,4.5,-124,1.8064516129032258,-107
pp;0;ou;hita;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Hits Allowed,,under,4.5,-107,1.9345794392523366,107
pp;0;ou;er;2.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Earned Runs,,over,2.5,117,2.17,133
pp;0;ou;er;2.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Earned Runs,,under,2.5,-157,1.6369426751592355,-133
pp;ou;po;15.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Pitching Outs,,over,15.5,152,2.52,171
pp;ou;po;15.5,2024-08-15,MLB,BOS(away) vs BAL(home),N. Pivetta,Pitching Outs,,under,15.5,-211,1.4739336492890995,-171
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Urias,Home Runs,,over,0.5,761,8.61,814
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Urias,Home Runs,,under,0.5,-1724,1.0580046403712298,-814
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Urias,Total Bases,,over,0.5,-185,1.5405405405405406,-153
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Urias,Total Bases,,under,0.5,135,2.35,153
pp;0;ou;so;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Total Strikeouts,,over,4.5,-127,1.7874015748031495,-108
pp;0;ou;so;4.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Total Strikeouts,,under,4.5,-107,1.9345794392523366,108
pp;0;ou;hita;5.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Hits Allowed,,over,5.5,-160,1.625,-135
pp;0;ou;hita;5.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Hits Allowed,,under,5.5,119,2.19,135
pp;0;ou;er;2.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Earned Runs,,over,2.5,-122,1.819672131147541,-104
pp;0;ou;er;2.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Earned Runs,,under,2.5,-113,1.8849557522123894,104
pp;ou;po;17.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Pitching Outs,,over,17.5,-170,1.5882352941176472,-142
pp;ou;po;17.5,2024-08-15,MLB,BOS(away) vs BAL(home),Z. Eflin,Pitching Outs,,under,17.5,126,2.26,142
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),A. Santander,Home Runs,,over,0.5,402,5.02,434
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),A. Santander,Home Runs,,under,0.5,-642,1.1557632398753894,-434
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),A. Santander,Total Bases,,over,1.5,123,2.23,139
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),A. Santander,Total Bases,,under,1.5,-165,1.606060606060606,-139
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),D. Smith,Home Runs,,under,0.5,-1442,1.0693481276005548,-733
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),D. Smith,Home Runs,,over,0.5,684,7.84,733
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),D. Smith,Total Bases,,over,0.5,-209,1.4784688995215312,-169
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),D. Smith,Total Bases,,under,0.5,150,2.5,169
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Devers,Home Runs,,over,0.5,370,4.7,400
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Devers,Home Runs,,under,0.5,-572,1.1748251748251748,-400
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Devers,Total Bases,,over,1.5,105,2.05,119
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Devers,Total Bases,,under,1.5,-139,1.7194244604316546,-119
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Mullins,Home Runs,,over,0.5,817,9.17,872
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Mullins,Home Runs,,under,0.5,-1947,1.0513610683102208,-872
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Mullins,Total Bases,,over,0.5,-147,1.6802721088435373,-125
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Mullins,Total Bases,,under,0.5,110,2.1,125
