Category,Designation,Points,PN American Odds
Taj Bradley (Total Strikeouts)(must start),over,5.5,-118
Taj Bradley (Total Strikeouts)(must start),under,5.5,-122
Taj Bradley (Hits Allowed)(must start),over,5.5,105
Taj Bradley (Hits Allowed)(must start),under,5.5,-152
Taj Bradley (Earned Runs)(must start),over,2.5,108
Taj Bradley (Earned Runs)(must start),under,2.5,-154
Taj Bradley (Pitching Outs)(must start),over,17.5,-144
Taj Bradley (Pitching Outs)(must start),under,17.5,107
Jose Altuve (Home Runs)(must start),over,0.5,676
Jose Altuve (Home Runs)(must start),under,0.5,-1415
Jose Altuve (Total Bases)(must start),over,1.5,122
Jose Altuve (Total Bases)(must start),under,1.5,-165
Jon Singleton (Home Runs)(must start),over,0.5,-1476
Jon Singleton (Home Runs)(must start),under,0.5,693
Jon Singleton (Total Bases)(must start),over,0.5,-146
Jon Singleton (Total Bases)(must start),under,0.5,110
Alex Bregman (Home Runs)(must start),over,0.5,596
Alex Bregman (Home Runs)(must start),under,0.5,-1157
Alex Bregman (Total Bases)(must start),over,1.5,114
Alex Bregman (Total Bases)(must start),under,1.5,-163
Jose Siri (Home Runs)(must start),over,0.5,743
Jose Siri (Home Runs)(must start),under,0.5,-1656
Jose Siri (Total Bases)(must start),over,0.5,-133
Jose Siri (Total Bases)(must start),under,0.5,-100
Mauricio Dubon (Total Bases)(must start),over,0.5,-217
Mauricio Dubon (Total Bases)(must start),under,0.5,146
Yandy Diaz (Total Bases)(must start),over,1.5,120
Yandy Diaz (Total Bases)(must start),under,1.5,-168
Alex Jackson (Home Runs)(must start),over,0.5,755
Alex Jackson (Home Runs)(must start),under,0.5,-1702
Alex Jackson (Total Bases)(must start),over,0.5,-106
Alex Jackson (Total Bases)(must start),under,0.5,-124
Framber Valdez (Total Strikeouts)(must start),over,6.5,-152
Framber Valdez (Total Strikeouts)(must start),under,6.5,105
Framber Valdez (Hits Allowed)(must start),over,5.5,111
Framber Valdez (Hits Allowed)(must start),under,5.5,-148
Framber Valdez (Earned Runs)(must start),over,2.5,134
Framber Valdez (Earned Runs)(must start),under,2.5,-200
Framber Valdez (Pitching Outs)(must start),over,17.5,-228
Framber Valdez (Pitching Outs)(must start),under,17.5,146
Jeremy Pena (Home Runs)(must start),over,0.5,738
Jeremy Pena (Home Runs)(must start),under,0.5,-1638
Jeremy Pena (Total Bases)(must start),over,1.5,125
Jeremy Pena (Total Bases)(must start),under,1.5,-176
Dylan Carlson (Total Bases)(must start),over,0.5,-211
Dylan Carlson (Total Bases)(must start),under,0.5,152
Christopher Morel (Home Runs)(must start),over,0.5,500
Christopher Morel (Home Runs)(must start),under,0.5,-882
Christopher Morel (Total Bases)(must start),over,0.5,-161
Christopher Morel (Total Bases)(must start),under,0.5,120
Yordan Alvarez (Home Runs)(must start),over,0.5,314
Yordan Alvarez (Home Runs)(must start),under,0.5,-777
Yordan Alvarez (Total Bases)(must start),over,1.5,110
Yordan Alvarez (Total Bases)(must start),under,1.5,-149
Yainer Diaz (Home Runs)(must start),over,0.5,617
Yainer Diaz (Home Runs)(must start),under,0.5,-1222
Yainer Diaz (Total Bases)(must start),over,1.5,110
Yainer Diaz (Total Bases)(must start),under,1.5,-152
Jonny DeLuca (Home Runs)(must start),over,0.5,842
Jonny DeLuca (Home Runs)(must start),under,0.5,-2051
Jonny DeLuca (Total Bases)(must start),over,0.5,-184
Jonny DeLuca (Total Bases)(must start),under,0.5,135
José Caballero (Total Bases)(must start),over,0.5,-166
José Caballero (Total Bases)(must start),under,0.5,123
Jake Meyers (Home Runs)(must start),over,0.5,706
Jake Meyers (Home Runs)(must start),under,0.5,-1522
Jake Meyers (Total Bases)(must start),over,0.5,-193
Jake Meyers (Total Bases)(must start),under,0.5,140
Curtis Mead (Total Bases)(must start),over,0.5,-211
Curtis Mead (Total Bases)(must start),under,0.5,143
Zach Dezenzo (Home Runs)(must start),over,0.5,569
Zach Dezenzo (Home Runs)(must start),under,0.5,-1075
Zach Dezenzo (Total Bases)(must start),over,0.5,-150
