Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
NYM(away) vs ATL(home),MLB,Moneyline OF,,home,,0.0,1.625,-160,s;0;m,2024-09-30
NYM(away) vs ATL(home),MLB,Moneyline OF,,away,,0.0,2.3,130,s;0;m,2024-09-30
NYM(away) vs ATL(home),MLB,Run Line,,home,,-1.5,2.3,130,s;0;s;-1.5,2024-09-30
NYM(away) vs ATL(home),MLB,Run Line,,away,,1.5,1.625,-160,s;0;s;-1.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs OF,over,,,7.5,1.8334,-120,s;0;ou;7.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs OF,under,,,7.5,2.0,100,s;0;ou;7.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - AWAYTEAM OF,over,away,,3.5,2.0,100,s;0;tt;3.5;away,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - AWAYTEAM OF,under,away,,3.5,1.7693,-130,s;0;tt;3.5;away,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - HOMETEAM OF,over,home,,4.5,2.15,115,s;0;tt;4.5;home,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - HOMETEAM OF,under,home,,4.5,1.6667,-150,s;0;tt;4.5;home,2024-09-30
NYM(away) vs ATL(home),MLB,Moneyline OF,,home,,0.0,1.5715,-175,s;0;m,2024-09-30
NYM(away) vs ATL(home),MLB,Moneyline OF,,away,,0.0,2.45,145,s;0;m,2024-09-30
NYM(away) vs ATL(home),MLB,Run Line,,home,,-1.5,2.15,115,s;0;s;-1.5,2024-09-30
NYM(away) vs ATL(home),MLB,Run Line,,away,,1.5,1.7143,-140,s;0;s;-1.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs OF,over,,,7.5,1.9091,-110,s;0;ou;7.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs OF,under,,,7.5,1.9091,-110,s;0;ou;7.5,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - AWAYTEAM OF,over,away,,3.5,2.15,115,s;0;tt;3.5;away,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - AWAYTEAM OF,under,away,,3.5,1.6667,-150,s;0;tt;3.5;away,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - HOMETEAM OF,over,home,,4.5,2.1,110,s;0;tt;4.5;home,2024-09-30
NYM(away) vs ATL(home),MLB,Total Runs - HOMETEAM OF,under,home,,4.5,1.6897,-145,s;0;tt;4.5;home,2024-09-30
DET(away) vs HOU(home),MLB,Moneyline OF,,home,,0.0,1.7693,-130,s;0;m,2024-10-01
DET(away) vs HOU(home),MLB,Moneyline OF,,away,,0.0,2.1,110,s;0;m,2024-10-01
DET(away) vs HOU(home),MLB,Run Line,,home,,-1.5,2.75,175,s;0;s;-1.5,2024-10-01
DET(away) vs HOU(home),MLB,Run Line,,away,,1.5,1.4762,-210,s;0;s;-1.5,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs OF,over,,,6.5,1.9091,-110,s;0;ou;6.5,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs OF,under,,,6.5,1.9091,-110,s;0;ou;6.5,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs - AWAYTEAM OF,over,away,,2.5,1.7143,-140,s;0;tt;2.5;away,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs - AWAYTEAM OF,under,away,,2.5,2.05,105,s;0;tt;2.5;away,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs - HOMETEAM OF,over,home,,3.5,2.15,115,s;0;tt;3.5;home,2024-10-01
DET(away) vs HOU(home),MLB,Total Runs - HOMETEAM OF,under,home,,3.5,1.6667,-150,s;0;tt;3.5;home,2024-10-01
KAN(away) vs BAL(home),MLB,Moneyline OF,,home,,0.0,1.625,-160,s;0;m,2024-10-01
KAN(away) vs BAL(home),MLB,Moneyline OF,,away,,0.0,2.3,130,s;0;m,2024-10-01
KAN(away) vs BAL(home),MLB,Run Line,,home,,-1.5,2.5,150,s;0;s;-1.5,2024-10-01
KAN(away) vs BAL(home),MLB,Run Line,,away,,1.5,1.5556,-180,s;0;s;-1.5,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs OF,over,,,7.0,2.0,100,s;0;ou;7.0,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs OF,under,,,7.0,1.8334,-120,s;0;ou;7.0,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs - AWAYTEAM OF,over,away,,2.5,1.6897,-145,s;0;tt;2.5;away,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs - AWAYTEAM OF,under,away,,2.5,2.1,110,s;0;tt;2.5;away,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs - HOMETEAM OF,over,home,,3.5,1.9091,-110,s;0;tt;3.5;home,2024-10-01
KAN(away) vs BAL(home),MLB,Total Runs - HOMETEAM OF,under,home,,3.5,1.8334,-120,s;0;tt;3.5;home,2024-10-01
TEN(away) vs MIA(home),NFL,Moneyline,,home,,0.0,1.6897,-145,s;0;m,2024-09-30
TEN(away) vs MIA(home),NFL,Moneyline,,away,,0.0,2.2,120,s;0;m,2024-09-30
