Key,Designation,Name,Date,Teams,League,Category,Side,Points,PN Decimal Odds,PB Decimal Odds,DK Decimal Odds,FD Decimal Odds,PN American Odds,PB American Odds,DK American Odds,FD American Odds,PN Fair Odds,Best Deal,Fair Odds Ratio,arb ROI%
s;0;m,,,2024-09-30,NYM(away) vs ATL(home),MLB,Moneyline,home,0,,1.625,1.6451613,1.649350649350649,,-160.0,-155.0,-154.0,,-154.0,,
s;0;m,,,2024-09-30,NYM(away) vs ATL(home),MLB,Moneyline,home,0,,1.5715,1.6451613,1.649350649350649,,-175.0,-155.0,-154.0,,-154.0,,
s;0;m,,,2024-09-30,NYM(away) vs ATL(home),MLB,Moneyline,away,0,,2.3,2.3,2.3,,130.0,130.0,130.0,,130.0,,
s;0;m,,,2024-09-30,NYM(away) vs ATL(home),MLB,Moneyline,away,0,,2.45,2.3,2.3,,145.0,130.0,130.0,,145.0,,
s;0;s;-1.5,,,2024-09-30,NYM(away) vs ATL(home),MLB,Run Line,home,-1.5,,2.3,2.42,2.34,,130.0,142.0,134.0,,142.0,,
s;0;s;-1.5,,,2024-09-30,NYM(away) vs ATL(home),MLB,Run Line,home,-1.5,,2.15,2.42,2.34,,115.0,142.0,134.0,,142.0,,
s;0;s;-1.5,,,2024-09-30,NYM(away) vs ATL(home),MLB,Run Line,away,1.5,,1.625,1.5882353,1.617283950617284,,-160.0,-170.0,-162.0,,-160.0,,
s;0;s;-1.5,,,2024-09-30,NYM(away) vs ATL(home),MLB,Run Line,away,1.5,,1.7143,1.5882353,1.617283950617284,,-140.0,-170.0,-162.0,,-140.0,,
s;0;ou;7.5,over,,2024-09-30,NYM(away) vs ATL(home),MLB,Total Runs,,7.5,,1.8334,1.84745763,1.869565217391304,,-120.0,-118.0,-115.0,,-115.0,,-3.8308237378210874
s;0;ou;7.5,over,,2024-09-30,NYM(away) vs ATL(home),MLB,Alternate Total Runs,,7.5,,1.8334,1.84745763,1.833333333333333,,-120.0,-118.0,-120.0,,-118.0,,
s;0;ou;7.5,over,,2024-09-30,NYM(away) vs ATL(home),MLB,Total Runs,,7.5,,1.9091,1.84745763,1.869565217391304,,-110.0,-118.0,-115.0,,-110.0,,
s;0;ou;7.5,over,,2024-09-30,NYM(away) vs ATL(home),MLB,Alternate Total Runs,,7.5,,1.9091,1.84745763,1.833333333333333,,-110.0,-118.0,-120.0,,-110.0,,
s;0;ou;7.5,under,,2024-09-30,NYM(away) vs ATL(home),MLB,Total Runs,,7.5,,2.0,1.98039216,1.952380952380952,,100.0,-102.0,-105.0,,100.0,,-3.370786516853941
s;0;ou;7.5,under,,2024-09-30,NYM(away) vs ATL(home),MLB,Alternate Total Runs,,7.5,,2.0,1.98039216,1.943396226415094,,100.0,-102.0,-106.0,,100.0,,-3.370786516853941
s;0;ou;7.5,under,,2024-09-30,NYM(away) vs ATL(home),MLB,Total Runs,,7.5,,1.9091,1.98039216,1.952380952380952,,-110.0,-102.0,-105.0,,-102.0,,-3.8308237378210874
s;0;ou;7.5,under,,2024-09-30,NYM(away) vs ATL(home),MLB,Alternate Total Runs,,7.5,,1.9091,1.98039216,1.943396226415094,,-110.0,-102.0,-106.0,,-102.0,,-3.8308237378210874
s;0;tt;3.5;away,over,,2024-09-30,NYM(away) vs ATL(home),MLB,New York Mets Total Runs,away,3.5,,2.0,,1.925925925925926,,100.0,,-108.0,,100.0,,-3.96475770925111
