Teams_x,League_x,Category_x,Designation_x,Side_x,Name_x,Points_x,PB Decimal Odds,PB American Odds,Key,Period,GameId,Teams_y,League_y,Designation_y,Side_y,Points_y,BO Odds,BO dec_odds,Category_y,Name_y,Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Home,Chicago Cubs,0.0,1.0715,-1399.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Away,Los Angeles Angels,0.0,8.5,750.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Run Line,,Home,Chicago Cubs -3.5,-3.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Run Line,,Away,Los Angeles Angels +3.5,3.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 2.5,2.5,2.35,135.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 2.5,2.5,1.5715,-175.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 5.5,5.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Los Angeles Angels(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 5.5,5.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Moneyline OF,,Home,Pittsburgh Pirates,0.0,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Moneyline OF,,Away,New York Mets,0.0,2.15,115.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Run Line,,Home,Pittsburgh Pirates -1.5,-1.5,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Run Line,,Away,New York Mets +1.5,1.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs OF,over,Neither,Over 8,8.0,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs OF,under,Neither,Under 8,8.0,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
New York Mets(away) vs Pittsburgh Pirates(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Moneyline OF,,Home,Washington Nationals,0.0,2.3,130.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Moneyline OF,,Away,St. Louis Cardinals,0.0,1.625,-160.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Run Line,,Home,Washington Nationals +1.5,1.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Run Line,,Away,St. Louis Cardinals -1.5,-1.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals(away) vs Washington Nationals(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Moneyline OF,,Home,New York Yankees,0.0,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Moneyline OF,,Away,Boston Red Sox,0.0,2.15,115.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Run Line,,Home,New York Yankees -1.5,-1.5,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Run Line,,Away,Boston Red Sox +1.5,1.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs OF,over,Neither,Over 8,8.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs OF,under,Neither,Under 8,8.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.6897,-145.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Moneyline OF,,Home,Cincinnati Reds,0.0,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Moneyline OF,,Away,Detroit Tigers,0.0,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Run Line,,Home,Cincinnati Reds -1.5,-1.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Run Line,,Away,Detroit Tigers +1.5,1.5,1.5264,-190.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs OF,over,Neither,Over 9,9.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs OF,under,Neither,Under 9,9.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers(away) vs Cincinnati Reds(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Moneyline OF,,Home,Miami Marlins,0.0,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Moneyline OF,,Away,Chicago White Sox,0.0,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Run Line,,Home,Miami Marlins -1.5,-1.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Run Line,,Away,Chicago White Sox +1.5,1.5,1.5264,-190.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs OF,over,Neither,Over 8,8.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs OF,under,Neither,Under 8,8.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.6897,-145.0,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox(away) vs Miami Marlins(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Moneyline OF,,Home,Cleveland Guardians,0.0,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Moneyline OF,,Away,San Francisco Giants,0.0,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Run Line,,Home,Cleveland Guardians -1.5,-1.5,2.15,115.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Run Line,,Away,San Francisco Giants +1.5,1.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants(away) vs Cleveland Guardians(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Moneyline OF,,Home,Atlanta Braves,0.0,1.6897,-145.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Moneyline OF,,Away,Philadelphia Phillies,0.0,2.2,120.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Run Line,,Home,Atlanta Braves -1.5,-1.5,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Run Line,,Away,Philadelphia Phillies +1.5,1.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs OF,over,Neither,Over 7.5,7.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs OF,under,Neither,Under 7.5,7.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies(away) vs Atlanta Braves(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Moneyline OF,,Home,Texas Rangers,0.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Moneyline OF,,Away,Tampa Bay Rays,0.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Run Line,,Home,Texas Rangers +1.5,1.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Run Line,,Away,Tampa Bay Rays -1.5,-1.5,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays(away) vs Texas Rangers(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
